Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_du_dinh,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/04/02 5:03:10 CH GMT+7,Lớp 10,Miền Bắc,"['Toán', 'Văn', 'Anh']","['Lý', 'Sử']",[9.0 - 10.0],D01,['D01'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 5:08:40 CH GMT+7,Lớp 10,Miền Nam,['Toán'],['Lý'],[9.0 - 10.0],A01,['A01'],[21 - 24),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",Muốn biết hạng
2026/04/02 5:17:24 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh', 'Tin']","['Văn', 'Hóa', 'Sinh']",Mình đang là học sinh lớp 10 nên chưa biết,"Toán,Lý,Anh văn",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Phân tích phổ điểm']",
2026/04/02 5:28:42 CH GMT+7,Đã tốt nghiệp THPT,Miền Trung,['Toán'],"['Văn', 'Tin']",[8.0 - 9.0),Toán lý hoá,['INVALID'],[24 - 27),Khác,['Thứ hạng ước tính'],
2026/04/02 5:34:43 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Anh']","['Văn', 'Sử']",[8.0 - 9.0),D01,['D01'],[21 - 24),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Xác suất ""an toàn""']",muốn mình đạt được mục tiêu của bản thân đã đặt ra
2026/04/02 6:01:24 CH GMT+7,Lớp 10,Miền Nam,['Văn'],['Toán'],[7.0 - 8.0),Toán - Văn - Địa,['INVALID'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Mình muốn so điểm với bạn bè một cách ẩn danh.
2026/04/02 6:04:09 CH GMT+7,Lớp 10,Miền Nam,"['Lý', 'Hóa']",['Văn'],Mình đang là học sinh lớp 10 nên chưa biết,A00,['A00'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/04/02 6:08:07 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Anh']","['Văn', 'Lý']",Mình đang là học sinh lớp 10 nên chưa biết,Toán Lý Anh,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",muốn biết mình có trong top 100 tỉnh hay không?
2026/04/02 6:10:42 CH GMT+7,Lớp 10,Miền Nam,['Anh'],['Lý'],Mình đang là học sinh lớp 10 nên chưa biết,toán lý anh,['INVALID'],[24 - 27),Khác,"['Xác suất ""an toàn""']",mình muốn biết có đủ điểm đậu hay không
2026/04/02 6:20:29 CH GMT+7,Lớp 10,Miền Nam,"['Văn', 'Anh', 'Sử']",['Toán'],Mình ngại lắm / Không muốn trả lời,Tự nhiên,['INVALID'],[21 - 24),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",Thuộc top của lớp là dc r
2026/04/02 6:20:42 CH GMT+7,Lớp 10,Miền Nam,['Toán'],['Anh'],[8.0 - 9.0),"Toán,lí,anh,văn",['INVALID'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính']",
2026/04/02 6:30:35 CH GMT+7,Lớp 12,Miền Nam,['Tin'],['GDKT&PL (Hoặc GDCD)'],[7.0 - 8.0),Địa văn sử,['INVALID'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 6:33:21 CH GMT+7,Lớp 10,Miền Nam,['Anh'],['Toán'],[8.0 - 9.0),Tổ hợp D01,['D01'],[24 - 27),Chỉ để xét tốt nghiệp THPT / Thi cho có,['So sánh tổ hợp'],
2026/04/02 6:35:35 CH GMT+7,Lớp 10,Miền Nam,['Sử'],['Lý'],[6.0 - 7.0),tự nhiên,['INVALID'],[18 - 21),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
